title,color,details,fit_type,hem_shaped,length,material,neckline,occasion,pattern_type,season,sheer,sleeve_length,sleeve_type,style,type,waist_line
Sangria Off White & Blue Striped Basic Jumpsuit,blue,-,-,-,-,-,-,-,stripes,-,-,-,-,-,jumpsuit,-
FabAlley Navy Blue Basic Jumpsuit,navy blue,-,-,-,-,-,-,-,-,-,-,-,-,-,jumpsuit,-
MANGO Orange & White Halter Neck Printed Basic Jumpsuit Comes with a Belt,white,belted,-,-,-,-,halter,-,printed,-,-,-,-,-,jumpsuit,-
Vero Moda Women Green Capri Jumpsuit,green,-,-,-,-,-,-,-,-,-,-,-,-,-,romper,-
BoStreet Pink & Yellow Off-Shoulder Printed Jumpsuit,yellow,-,-,-,-,-,off the shoulder,-,printed,-,-,-,-,street,jumpsuit,-
I Love She Navy Blue Linen Basic Jumpsuit,navy blue,-,-,-,-,linen,-,-,-,-,-,-,-,-,jumpsuit,-
Berrylush Women Charming Red Solid New Neckline Jumpsuit,red,-,-,-,-,-,-,-,plain,-,-,-,-,-,jumpsuit,-
MANGO Green & White Printed Basic Jumpsuit,white,-,-,-,-,-,-,-,printed,-,-,-,-,-,jumpsuit,-
Styli Green & Brown Printed Basic Jumpsuit,brown,-,-,-,-,-,-,-,printed,-,-,-,-,-,jumpsuit,-
Naughty Ninos Girls Black & Blue Printed Basic Jumpsuit,blue,-,-,-,-,-,-,-,printed,-,-,-,-,-,jumpsuit,-
MANGO Black Basic Jumpsuit with Embroidered,black,embroidery,-,-,-,-,-,-,-,-,-,-,-,-,jumpsuit,-
MANGO Blue & Yellow Polka Dots Print Playsuit,yellow,-,-,-,-,-,-,-,polka dot,-,-,-,-,-,unitard,-
H&M Boys Printed Ribbed Cotton Rompers,-,-,-,-,-,cotton,-,-,printed,-,-,-,-,-,romper,-
H&M Woman Wrapover-Front Crpe Jumpsuit,-,wrap,-,-,-,-,-,-,-,-,-,-,-,-,jumpsuit,-
Tinted Women Solid Casual Jumpsuit,-,-,-,-,-,-,-,casual,plain,-,-,-,-,-,jumpsuit,-
Miss Chase Women Green Basic and Sequined Jumpsuit,green,sequins,-,-,-,-,-,-,-,-,-,-,-,basics,jumpsuit,-
Zalio Girls Black & Blue Printed One-shoulder Jumpsuit,blue,-,-,-,-,-,one shoulder,-,printed,-,-,-,-,-,jumpsuit,-
W Blue Basic Jumpsuit with Lace Inserts,blue,lace insert,-,-,-,-,-,-,-,-,-,-,-,-,jumpsuit,-
Marks & Spencer Girls Blue Solid Jumpsuit,blue,-,-,-,-,-,-,-,plain,-,-,-,-,-,jumpsuit,-
FabAlley Blue & White Striped Basic Jumpsuit,white,-,-,-,-,-,-,-,stripes,-,-,-,-,-,jumpsuit,-
JISORA Women White & Green Printed Cotton Jumpsuit,green,-,-,-,-,cotton,-,-,printed,-,-,-,-,-,jumpsuit,-
THE CLOTHING FACTORY Women Black Solid Asymmetrical Midi Skirt,black,asymmetrical,-,-,midi,-,-,-,plain,-,-,-,-,-,skirt,-
BoStreet Women Black Solid Midi Length Pencil Skirt,black,-,-,-,midi,-,-,-,plain,-,-,-,-,street,pencil skirt,-
MANGO Women Black Sustainable Faux Leather Casual Wrap Skirt,black,wrap,-,-,-,faux leather,-,casual,-,-,-,-,-,-,skirt,-
Clora Creation Women Black Ethnic Motifs Embroidered Smart Easy Wash Trousers,black,washed,loose,-,-,-,-,-,ethnic,-,-,-,-,-,trousers,-
I Love She Women Black Relaxed High-Rise Trousers,black,-,loose,-,-,-,-,-,-,-,-,-,-,-,trousers,high
CODE by Lifestyle Women Purple Floral Printed Polyester Trousers,purple,-,-,-,-,polyester,-,-,floral,-,-,-,-,-,trousers,-
BoStreet Women Green Tapered Fit Joggers Trousers,green,-,slim,-,-,-,-,-,-,-,-,-,-,street,trousers,-
Clora Creation Women White Pleated Cigarette Trousers,white,pleated,-,-,-,-,-,-,-,-,-,-,-,-,cigarette trousers,-
Ginger by Lifestyle Women Purple Pleated Trouser,purple,pleated,-,-,-,-,-,-,-,-,-,-,-,-,trousers,-
WineRed Women White Straight Fit High-Rise Easy Wash Pleated Trousers,white,pleated,loose,straight,-,-,-,-,-,-,-,-,-,-,trousers,high
Kotty Women Black Relaxed Straight Leg High-Rise Easy Wash Trousers,black,washed,loose,-,-,-,-,-,-,-,-,-,-,-,trousers,high
Clora Creation Women Red Smart Flared Easy Wash Culottes,red,washed,loose,-,-,-,-,-,-,-,-,-,flared,-,culottes,-
Libas Women Maroon Solid Velvet Trousers,maroon,-,-,-,-,velvet,-,-,plain,-,-,-,-,-,trousers,-
YOONOY Women White & Maroon Floral Printed Organic Cotton Trousers,maroon,-,-,-,-,organic cotton,-,-,floral,-,-,-,-,-,trousers,-
Libas Women Stunning Gold Ethnic Motifs Woven Metallic Trousers,gold,woven,-,-,-,metallic,-,-,ethnic,-,-,-,-,-,trousers,-
Kazo Women Olive Green Flared High-Rise Trouser,olive green,-,-,-,-,-,-,-,-,-,-,-,flared,-,trousers,high
I Love She Women Olive Green High-Rise Pleated Cotton Trousers,olive green,high waist,-,-,-,cotton,-,-,-,-,-,-,-,-,trousers,-
Marks & Spencer Women Black High-Rise Chinos Trousers,black,-,-,-,-,-,-,-,-,-,-,-,-,-,trousers,high
Fame Forever by Lifestyle Women Beige Floral Printed Culottes Trousers,beige,-,-,-,-,-,-,-,floral,-,-,-,-,-,trousers,-
H&M Women Silver-Coloured Flared Sequined Trousers,silver,sequins,-,-,-,-,-,-,-,-,-,-,flared,-,trousers,-
WineRed Women Black Solid Easy Wash Trousers,black,washed,loose,-,-,-,-,-,plain,-,-,-,-,-,trousers,-
Melange by Lifestyle Women Green Striped Trouser,green,-,-,-,-,-,-,-,stripes,-,-,-,-,-,trousers,-
MANGO Women Grey Sequinned Flared Trousers,grey,-,-,-,-,-,-,-,-,-,-,-,flared,-,trousers,-
Ginger by Lifestyle Women Pink Pleated Culottes Trousers,pink,pleated,-,-,-,-,-,-,-,-,-,-,-,-,trousers,-
Clora Creation Women Maroon Solid Easy Wash Trousers,maroon,washed,loose,-,-,-,-,-,plain,-,-,-,-,-,trousers,-
Dollar Missy Women Brown Relaxed Wrinkle Free Cotton Trousers,brown,-,loose,-,-,cotton,-,-,dollar,-,-,-,-,-,trousers,-
H&M Woman Wide trousers,-,-,-,-,-,-,-,-,-,-,-,-,wide,-,trousers,-
Clora Creation Women Navy Blue Smart Easy Wash Woolen Winter Trousers,navy blue,washed,loose,-,-,-,-,-,-,winter,-,-,-,-,trousers,-
H&M Women Wide Trousers,-,-,-,-,-,-,-,-,-,-,-,-,wide,-,trousers,-
BoStreet Women Pink Tapered Fit Joggers Trousers,pink,-,slim,-,-,-,-,-,-,-,-,-,-,street,trousers,-
